#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Fri Jul 12 14:40:02 2019

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       MainModule_map.ncd
#OUTPUT FILE:      MainModule_pad.csv
#PART TYPE:        xc7a100t
#SPEED GRADE:      -3
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A14,Out9<3>,IOB,IO_L9N_T1_DQS_AD3N_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
A15,Out9<1>,IOB,IO_L8P_T1_AD10P_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
A16,Out9<6>,IOB,IO_L8N_T1_AD10N_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
A17,,,VCCO_15,,,15,,,,,1.80,,,,
A18,Out9<5>,IOB,IO_L10N_T1_AD11N_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
B1,db<16>,IOB,IO_L9P_T1_DQS_AD7P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
B2,db<19>,IOB,IO_L10N_T1_AD15N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
B3,db<18>,IOB,IO_L10P_T1_AD15P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
B4,db<13>,IOB,IO_L7N_T1_AD6N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
B5,,,GND,,,,,,,,,,,,
B6,db<3>,IOB,IO_L2N_T0_AD12N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
B7,db<2>,IOB,IO_L2P_T0_AD12P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
B8,EN_BramRd,IOB,IO_L12P_T1_MRCC_16,OUTPUT,LVCMOS18*,16,12,SLOW,,,,UNLOCATED,NO,NONE,
B9,EN_B,IOB,IO_L11N_T1_SRCC_16,OUTPUT,LVCMOS18*,16,12,SLOW,,,,UNLOCATED,NO,NONE,
B10,,,VCCO_16,,,16,,,,,1.80,,,,
B11,dina<0>,IOB,IO_L4P_T0_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
B12,Out4<6>,IOB,IO_L3N_T0_DQS_AD1N_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
B13,Out4<1>,IOB,IO_L2P_T0_AD8P_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
B14,Out4<4>,IOB,IO_L2N_T0_AD8N_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
B15,,,GND,,,,,,,,,,,,
B16,dina<2>,IOB,IO_L7P_T1_AD2P_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
B17,Out4<7>,IOB,IO_L7N_T1_AD2N_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
B18,dina<3>,IOB,IO_L10P_T1_AD11P_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
C1,db<30>,IOB,IO_L16N_T2_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
C2,db<29>,IOB,IO_L16P_T2_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
C3,,,VCCO_35,,,35,,,,,1.80,,,,
C4,db<12>,IOB,IO_L7P_T1_AD6P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
C5,db<1>,IOB,IO_L1N_T0_AD4N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
C6,db<0>,IOB,IO_L1P_T0_AD4P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
C7,db<7>,IOB,IO_L4N_T0_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
C8,,,GND,,,,,,,,,,,,
C9,W_A,IOB,IO_L11P_T1_SRCC_16,OUTPUT,LVCMOS18*,16,12,SLOW,,,,UNLOCATED,NO,NONE,
C10,Out5<4>,IOB,IO_L13N_T2_MRCC_16,OUTPUT,LVCMOS18*,16,12,SLOW,,,,UNLOCATED,NO,NONE,
C11,Select<0>,IOB,IO_L13P_T2_MRCC_16,OUTPUT,LVCMOS18*,16,12,SLOW,,,,UNLOCATED,YES,NONE,
C12,Out4<3>,IOB,IO_L3P_T0_DQS_AD1P_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
C13,,,VCCO_15,,,15,,,,,1.80,,,,
C14,Out4<2>,IOB,IO_L1N_T0_AD0N_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
C15,Out9<7>,IOB,IO_L12N_T1_MRCC_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
C16,register1<4>,IOB,IO_L20P_T3_A20_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
C17,Out8<2>,IOB,IO_L20N_T3_A19_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
C18,,,GND,,,,,,,,,,,,
D1,,,GND,,,,,,,,,,,,
D2,db<26>,IOB,IO_L14N_T2_SRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
D3,db<22>,IOB,IO_L12N_T1_MRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
D4,db<20>,IOB,IO_L11N_T1_SRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
D5,CLK,IOB,IO_L11P_T1_SRCC_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
D6,,,VCCO_35,,,35,,,,,1.80,,,,
D7,db<11>,IOB,IO_L6N_T0_VREF_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
D8,db<6>,IOB,IO_L4P_T0_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
D9,clk1,IOB,IO_L6N_T0_VREF_16,OUTPUT,LVCMOS18*,16,12,SLOW,,,,UNLOCATED,NO,NONE,
D10,Out5<7>,IOB,IO_L19N_T3_VREF_16,OUTPUT,LVCMOS18*,16,12,SLOW,,,,UNLOCATED,NO,NONE,
D11,,,GND,,,,,,,,,,,,
D12,dina<4>,IOB,IO_L6P_T0_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
D13,Out9<4>,IOB,IO_L6N_T0_VREF_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
D14,Out4<0>,IOB,IO_L1P_T0_AD0P_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
D15,dina<7>,IOB,IO_L12P_T1_MRCC_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
D16,,,VCCO_15,,,15,,,,,1.80,,,,
D17,Addra<8>,IOB,IO_L16N_T2_A27_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
D18,Out8<4>,IOB,IO_L21N_T3_DQS_A18_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
E1,register1<1>,IOB,IO_L18N_T2_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
E2,db<25>,IOB,IO_L14P_T2_SRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
E3,db<21>,IOB,IO_L12P_T1_MRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
E4,,,GND,,,,,,,,,,,,
E5,db<9>,IOB,IO_L5N_T0_AD13N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
E6,db<8>,IOB,IO_L5P_T0_AD13P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
E7,db<10>,IOB,IO_L6P_T0_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
E8,,,VCCBATT_0,,,,,,,,,,,,
E9,,,CCLK_0,,,,,,,,,,,,
E10,,,TCK_0,,,,,,,,,,,,
E11,,,TDI_0,,,,,,,,,,,,
E12,,,TMS_0,,,,,,,,,,,,
E13,,,TDO_0,,,,,,,,,,,,
E14,,,GND,,,,,,,,,,,,
E15,dina<5>,IOB,IO_L11P_T1_SRCC_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
E16,dina<6>,IOB,IO_L11N_T1_SRCC_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
E17,Addra<4>,IOB,IO_L16P_T2_A28_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
E18,Out8<6>,IOB,IO_L21P_T3_DQS_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
F1,register1<0>,IOB,IO_L18P_T2_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
F2,,,VCCO_35,,,35,,,,,1.80,,,,
F3,db<23>,IOB,IO_L13N_T2_MRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
F4,EN_A,IOB,IO_L13P_T2_MRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
F5,Start,IOB,IO_0_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
F6,register1<3>,IOB,IO_L19N_T3_VREF_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
F7,,,GND,,,,,,,,,,,,
F8,,,VCCINT,,,,,,,,1.0,,,,
F9,,,GND,,,,,,,,,,,,
F10,,,VCCBRAM,,,,,,,,,,,,
F11,,,GND,,,,,,,,,,,,
F12,,,VCCAUX,,,,,,,,1.8,,,,
F13,Out4<5>,IOB,IO_L5P_T0_AD9P_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
F14,Out9<2>,IOB,IO_L5N_T0_AD9N_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
F15,Addra<0>,IOB,IO_L14P_T2_SRCC_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
F16,Addra<1>,IOB,IO_L14N_T2_SRCC_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
F17,,,GND,,,,,,,,,,,,
F18,Out5<2>,IOB,IO_L22N_T3_A16_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
G1,db<28>,IOB,IO_L17N_T2_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
G2,db<24>,IOB,IO_L15N_T2_DQS_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
G3,register1<5>,IOB,IO_L20N_T3_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
G4,Out8<1>,IOB,IO_L20P_T3_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
G5,,,VCCO_35,,,35,,,,,1.80,,,,
G6,register1<2>,IOB,IO_L19P_T3_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
G7,,,VCCINT,,,,,,,,1.0,,,,
G8,,,GND,,,,,,,,,,,,
G9,,,VCCINT,,,,,,,,1.0,,,,
G10,,,GND,,,,,,,,,,,,
G11,,,VCCBRAM,,,,,,,,,,,,
G12,,,GND,,,,,,,,,,,,
G13,EN_BramWr,IOB,IO_0_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
G14,Addra<10>,IOB,IO_L15N_T2_DQS_ADV_B_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
G15,,,VCCO_15,,,15,,,,,1.80,,,,
G16,Addra<2>,IOB,IO_L13N_T2_MRCC_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
G17,Select<2>,IOB,IO_L18N_T2_A23_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
G18,Out1<2>,IOB,IO_L22P_T3_A17_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
H1,db<31>,IOB,IO_L17P_T2_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
H2,db<27>,IOB,IO_L15P_T2_DQS_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
H3,,,GND,,,,,,,,,,,,
H4,Out8<7>,IOB,IO_L21N_T3_DQS_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
H5,register1<13>,IOB,IO_L24N_T3_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
H6,register1<9>,IOB,IO_L24P_T3_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
H7,,,GND,,,,,,,,,,,,
H8,,,VCCINT,,,,,,,,1.0,,,,
H9,,,GNDADC_0,,,,,,,,,,,,
H10,,,VCCADC_0,,,,,,,,,,,,
H11,,,GND,,,,,,,,,,,,
H12,,,VCCAUX,,,,,,,,1.8,,,,
H13,,,GND,,,,,,,,,,,,
H14,Addra<9>,IOB,IO_L15P_T2_DQS_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
H15,Out8<0>,IOB,IO_L19N_T3_A21_VREF_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
H16,Addra<5>,IOB,IO_L13P_T2_MRCC_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
H17,Addra<6>,IOB,IO_L18P_T2_A24_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
H18,,,VCCO_15,,,15,,,,,1.80,,,,
J1,,,VCCO_35,,,35,,,,,1.80,,,,
J2,Out5<1>,IOB,IO_L22N_T3_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
J3,Out8<5>,IOB,IO_L22P_T3_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
J4,Out8<3>,IOB,IO_L21P_T3_DQS_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
J5,register1<17>,IOB,IO_25_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
J6,,,GND,,,,,,,,,,,,
J7,,,VCCINT,,,,,,,,1.0,,,,
J8,,,GND,,,,,,,,,,,,
J9,,,VREFN_0,,,,,,,,,,,,
J10,,IPAD,VP_0,UNUSED,,0,,,,,,,,,
J11,,,VCCINT,,,,,,,,1.0,,,,
J12,,,GND,,,,,,,,,,,,
J13,Addra<7>,IOB,IO_L17N_T2_A25_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
J14,Select<1>,IOB,IO_L19P_T3_A22_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
J15,Out1<1>,IOB,IO_L24N_T3_RS0_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
J16,,,GND,,,,,,,,,,,,
J17,register1<8>,IOB,IO_L23P_T3_FOE_B_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
J18,Out5<0>,IOB,IO_L23N_T3_FWE_B_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
K1,register1<11>,IOB,IO_L23N_T3_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
K2,Out5<3>,IOB,IO_L23P_T3_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
K3,register1<18>,IOB,IO_L2P_T0_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
K4,,,VCCO_34,,,34,,,,,1.80,,,,
K5,register1<24>,IOB,IO_L5P_T0_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
K6,register1<15>,IOB,IO_0_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
K7,,,GND,,,,,,,,,,,,
K8,,,VCCINT,,,,,,,,1.0,,,,
K9,,IPAD,VN_0,UNUSED,,0,,,,,,,,,
K10,,,VREFP_0,,,,,,,,,,,,
K11,,,GND,,,,,,,,,,,,
K12,,,VCCAUX,,,,,,,,1.8,,,,
K13,Addra<3>,IOB,IO_L17P_T2_A26_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
K14,,,VCCO_15,,,15,,,,,1.80,,,,
K15,register1<12>,IOB,IO_L24P_T3_RS1_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
K16,register1<14>,IOB,IO_25_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
K17,register1<6>,IOB,IO_L1P_T0_D00_MOSI_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
K18,register1<10>,IOB,IO_L1N_T0_D01_DIN_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
L1,register1<16>,IOB,IO_L1P_T0_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
L2,,,GND,,,,,,,,,,,,
L3,register1<19>,IOB,IO_L2N_T0_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
L4,register1<25>,IOB,IO_L5N_T0_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
L5,register1<27>,IOB,IO_L6N_T0_VREF_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
L6,Out6<1>,IOB,IO_L6P_T0_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
L7,,,VCCINT,,,,,,,,1.0,,,,
L8,,,GND,,,,,,,,,,,,
L9,,,DXN_0,,,,,,,,,,,,
L10,,,DXP_0,,,,,,,,,,,,
L11,,,VCCINT,,,,,,,,1.0,,,,
L12,,,GND,,,,,,,,,,,,
L13,register1<26>,IOB,IO_L6P_T0_FCS_B_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
L14,Out1<3>,IOB,IO_L2P_T0_D02_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
L15,Out1<5>,IOB,IO_L3P_T0_DQS_PUDC_B_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
L16,Out1<6>,IOB,IO_L3N_T0_DQS_EMCCLK_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
L17,,,VCCO_14,,,14,,,,,1.80,,,,
L18,Out1<7>,IOB,IO_L4P_T0_D04_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
M1,register1<7>,IOB,IO_L1N_T0_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
M2,register1<23>,IOB,IO_L4N_T0_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
M3,register1<22>,IOB,IO_L4P_T0_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
M4,register2<13>,IOB,IO_L16P_T2_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
M5,,,GND,,,,,,,,,,,,
M6,register2<17>,IOB,IO_L18P_T2_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
M7,,,GND,,,,,,,,,,,,
M8,,,VCCINT,,,,,,,,1.0,,,,
M9,,,GND,,,,,,,,,,,,
M10,,,VCCINT,,,,,,,,1.0,,,,
M11,,,GND,,,,,,,,,,,,
M12,,,VCCAUX,,,,,,,,1.8,,,,
M13,Addrb<4>,IOB,IO_L6N_T0_D08_VREF_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
M14,Out1<4>,IOB,IO_L2N_T0_D03_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
M15,,,GND,,,,,,,,,,,,
M16,register2<8>,IOB,IO_L10P_T1_D14_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
M17,register2<2>,IOB,IO_L10N_T1_D15_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
M18,Addrb<7>,IOB,IO_L4N_T0_D05_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
N1,register1<21>,IOB,IO_L3N_T0_DQS_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
N2,register1<20>,IOB,IO_L3P_T0_DQS_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
N3,,,VCCO_34,,,34,,,,,1.80,,,,
N4,Out7<7>,IOB,IO_L16N_T2_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
N5,register2<7>,IOB,IO_L13P_T2_MRCC_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
N6,register2<18>,IOB,IO_L18N_T2_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
N7,,,VCCINT,,,,,,,,1.0,,,,
N8,,,GND,,,,,,,,,,,,
N9,,,VCCINT,,,,,,,,1.0,,,,
N10,,,GND,,,,,,,,,,,,
N11,,,VCCINT,,,,,,,,1.0,,,,
N12,,,GND,,,,,,,,,,,,
N13,,,VCCO_14,,,14,,,,,1.80,,,,
N14,register2<4>,IOB,IO_L8P_T1_D11_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
N15,Addrb<0>,IOB,IO_L11P_T1_SRCC_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
N16,Out7<0>,IOB,IO_L11N_T1_SRCC_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
N17,Out6<0>,IOB,IO_L9P_T1_DQS_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
N18,,,GND,,,,,,,,,,,,
P1,,,GND,,,,,,,,,,,,
P2,register2<11>,IOB,IO_L15P_T2_DQS_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
P3,Out7<3>,IOB,IO_L14N_T2_SRCC_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
P4,register2<9>,IOB,IO_L14P_T2_SRCC_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
P5,Out7<1>,IOB,IO_L13N_T2_MRCC_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
P6,,,VCCO_34,,,34,,,,,1.80,,,,
P7,,,INIT_B_0,,,,,,,,,,,,
P8,,,CFGBVS_0,,,,,,,,,,,,
P9,,,PROGRAM_B_0,,,,,,,,,,,,
P10,,,DONE_0,,,,,,,,,,,,
P11,,,M2_0,,,,,,,,,,,,
P12,,,M0_0,,,,,,,,,,,,
P13,,,M1_0,,,,,,,,,,,,
P14,Out6<2>,IOB,IO_L8N_T1_D12_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
